ProblemType,Algorithm,Method,Accuracy
non-linear,pgmpy-tree,MnNB,0.97
non-linear,pgmpy-tree,CNB,0.532
non-linear,pgmpy-tree,SVMsig,0.52
non-linear,pgmpy-tree,SVMpoly,0.904
non-linear,pgmpy-tree,SVMrbf,0.904
non-linear,pgmpy-tree,KNCunif,0.779
non-linear,pgmpy-tree,KNCdist,0.779
non-linear,pgmpy-mmhc,DTCgini,0.584
non-linear,pgmpy-mmhc,DTCent,0.584
non-linear,pgmpy-mmhc,RFCgini,0.644
non-linear,pgmpy-mmhc,RFCent,0.584
non-linear,pgmpy-mmhc,LRnone,0.839
non-linear,pgmpy-mmhc,LRl1,0.839
non-linear,pgmpy-mmhc,LRl2,0.839
non-linear,pgmpy-mmhc,LRmix,0.839
non-linear,pgmpy-mmhc,BNB,0.839
non-linear,pgmpy-mmhc,GNB,0.839
non-linear,pgmpy-mmhc,MnNB,0.97
non-linear,pgmpy-mmhc,CNB,0.465
non-linear,pgmpy-mmhc,SVMsig,0.536
non-linear,pgmpy-mmhc,SVMpoly,0.584
non-linear,pgmpy-mmhc,SVMrbf,0.584
non-linear,pgmpy-mmhc,KNCunif,0.594
non-linear,pgmpy-mmhc,KNCdist,0.594
non-linear,pomegranate-exact,DTCgini,0.97
non-linear,pomegranate-exact,DTCent,0.97
non-linear,pomegranate-exact,RFCgini,0.97
non-linear,pomegranate-exact,RFCent,0.97
non-linear,pomegranate-exact,LRnone,0.97
non-linear,pomegranate-exact,LRl1,0.97
non-linear,pomegranate-exact,LRl2,0.97
non-linear,pomegranate-exact,LRmix,0.97
non-linear,pomegranate-exact,BNB,0.97
non-linear,pomegranate-exact,GNB,0.97
non-linear,pomegranate-exact,MnNB,0.97
non-linear,pomegranate-exact,CNB,0.54
non-linear,pomegranate-exact,SVMsig,0.97
non-linear,pomegranate-exact,SVMpoly,0.97
non-linear,pomegranate-exact,SVMrbf,0.97
non-linear,pomegranate-exact,KNCunif,0.97
non-linear,pomegranate-exact,KNCdist,0.97
non-linear,pomegranate-greedy,DTCgini,0.97
non-linear,pomegranate-greedy,DTCent,0.97
non-linear,pomegranate-greedy,RFCgini,0.97
non-linear,pomegranate-greedy,RFCent,0.97
non-linear,pomegranate-greedy,LRnone,0.97
non-linear,pomegranate-greedy,LRl1,0.97
non-linear,pomegranate-greedy,LRl2,0.97
non-linear,pomegranate-greedy,LRmix,0.97
non-linear,pomegranate-greedy,BNB,0.97
non-linear,pomegranate-greedy,GNB,0.97
non-linear,pomegranate-greedy,MnNB,0.97
non-linear,pomegranate-greedy,CNB,0.583
non-linear,pomegranate-greedy,SVMsig,0.97
non-linear,pomegranate-greedy,SVMpoly,0.97
non-linear,pomegranate-greedy,SVMrbf,0.97
non-linear,pomegranate-greedy,KNCunif,0.97
non-linear,pomegranate-greedy,KNCdist,0.97
non-linear,bnlearn-hc,DTCgini,0.97
non-linear,bnlearn-hc,DTCent,0.97
non-linear,bnlearn-hc,RFCgini,0.97
non-linear,bnlearn-hc,RFCent,0.97
non-linear,bnlearn-hc,LRnone,0.97
non-linear,bnlearn-hc,LRl1,0.97
non-linear,bnlearn-hc,LRl2,0.97
non-linear,bnlearn-hc,LRmix,0.97
non-linear,bnlearn-hc,BNB,0.658
non-linear,bnlearn-hc,GNB,0.97
non-linear,bnlearn-hc,MnNB,0.0
non-linear,bnlearn-hc,CNB,0.545
non-linear,bnlearn-hc,SVMsig,0.97
non-linear,bnlearn-hc,SVMpoly,0.97
non-linear,bnlearn-hc,SVMrbf,0.129
non-linear,bnlearn-hc,KNCunif,0.0
non-linear,bnlearn-hc,KNCdist,0.0
non-linear,bnlearn-tabu,DTCgini,0.0
non-linear,bnlearn-tabu,DTCent,0.0
non-linear,bnlearn-tabu,RFCgini,0.0
non-linear,bnlearn-tabu,RFCent,0.0
non-linear,bnlearn-tabu,LRnone,0.97
